transaction_id,user_id,day_offset,hour,amount_rub,merchant_type,delivery_flag
93,9,57,11,1340.00,1,1
94,9,64,20,2850.00,2,1
95,9,71,15,2200.00,1,0
96,10,3,14,890.00,1,0
97,10,10,19,1250.00,1,1
98,10,17,21,950.00,0,1
99,10,24,12,670.00,0,0
100,10,31,18,1450.00,1,1
101,10,38,10,520.00,0,0
102,10,45,20,780.00,0,1
103,10,52,16,1100.00,1,0
104,11,4,11,550.00,0,0
105,11,11,17,890.00,0,0
106,11,18,14,680.00,0,0
107,11,25,20,1250.00,1,1
108,11,32,9,430.00,0,0
109,11,39,18,720.00,0,0
110,11,46,22,580.00,0,1
111,12,0,19,2450.00,2,1
112,12,7,15,1900.00,1,0
113,12,14,21,2850.00,2,1
114,12,21,12,1250.00,1,0
115,12,28,17,2100.00,1,1
116,12,35,20,3450.00,2,1
117,12,42,14,1550.00,1,0
118,12,49,22,3750.00,2,1
119,12,56,13,1340.00,1,1
120,12,63,19,2650.00,2,1
121,13,5,18,3850.00,2,1
122,13,12,21,5200.00,2,1
123,13,19,15,3100.00,1,0
124,13,26,20,4750.00,2,1
125,13,33,13,2250.00,1,1
126,13,40,22,6100.00,2,1
127,13,47,17,2900.00,1,0
128,13,54,19,4350.00,2,1
129,13,61,14,3450.00,2,1
130,13,68,21,5500.00,2,1
131,13,75,11,1890.00,1,0
132,13,82,20,4900.00,2,1
133,13,89,16,2780.00,1,1
134,13,96,23,6250.00,2,1
135,14,2,16,750.00,0,0
136,14,9,20,1250.00,1,1
137,14,16,12,560.00,0,0
138,14,23,18,890.00,1,0
139,14,30,14,430.00,0,0
140,14,37,21,1050.00,1,1
141,14,44,10,520.00,0,0
142,14,51,19,780.00,0,1
143,15,7,14,1890.00,1,0
144,15,14,20,2750.00,2,1
145,15,21,17,2250.00,1,1
146,15,28,12,1450.00,1,0
147,15,35,22,3400.00,2,1
148,15,42,15,2100.00,1,1
149,15,49,19,2950.00,2,1
150,15,56,11,1250.00,1,0
151,15,63,18,1850.00,1,1
152,15,70,21,3650.00,2,1
153,15,77,13,1650.00,1,0
154,16,1,17,890.00,1,0
155,16,8,14,1250.00,1,1
156,16,15,20,750.00,0,1
157,16,22,11,520.00,0,0
158,16,29,19,1450.00,1,1
159,16,36,15,680.00,0,0
160,16,43,21,950.00,0,1
161,16,50,12,580.00,0,0
162,17,3,18,1250.00,1,1
163,17,10,14,1780.00,1,0
164,17,17,20,2300.00,2,1
165,17,24,11,890.00,0,0
166,17,31,19,1650.00,1,1
167,17,38,16,720.00,0,0
168,17,45,22,1950.00,1,1
169,17,52,13,1050.00,1,0
170,18,4,15,780.00,0,0
171,18,11,20,1250.00,1,1
172,18,18,17,950.00,0,1
173,18,25,12,560.00,0,0
174,18,32,19,890.00,0,0
175,18,39,21,1450.00,1,1
176,18,46,14,680.00,0,0
177,18,53,18,1100.00,1,0
178,19,0,19,2450.00,2,1
179,19,7,15,1900.00,1,0
180,19,14,21,2850.00,2,1
181,19,21,12,1250.00,1,0
182,19,28,17,2100.00,1,1
183,19,35,20,3450.00,2,1
184,19,42,14,1550.00,1,0
185,19,49,22,3750.00,2,1
186,19,56,13,1340.00,1,1
187,19,63,19,2650.00,2,1
188,20,2,16,550.00,0,0
189,20,9,20,890.00,0,0
190,20,16,13,680.00,0,0
191,20,23,18,1250.00,1,1
192,20,30,11,480.00,0,0
193,20,37,21,780.00,0,1
194,20,44,15,590.00,0,0
195,20,51,19,920.00,1,0
196,21,8,17,2450.00,2,1
197,21,15,14,1890.00,1,1
198,21,22,20,3250.00,2,1
199,21,29,13,1450.00,1,0
200,21,36,19,2800.00,2,1
201,21,43,16,1750.00,1,0
202,21,50,22,4100.00,2,1
203,21,57,11,1340.00,1,1
204,21,64,20,2950.00,2,1
205,21,71,15,2250.00,1,0
206,22,5,19,3850.00,2,1
207,22,12,21,4900.00,2,1
208,22,19,15,2750.00,1,0
209,22,26,20,4350.00,2,1
210,22,33,13,2100.00,1,1
211,22,40,22,5800.00,2,1
212,22,47,17,2650.00,1,0
213,22,54,19,3950.00,2,1
214,22,61,14,3150.00,2,1
215,22,68,21,5200.00,2,1
216,22,75,11,1750.00,1,0
217,22,82,20,4600.00,2,1
218,23,1,14,550.00,0,0
219,23,8,19,680.00,0,0
220,23,15,21,890.00,0,1
221,23,22,11,480.00,0,0
222,23,29,18,720.00,0,0
223,23,36,13,590.00,0,0
224,23,43,20,850.00,0,1
225,23,50,15,630.00,0,0
226,24,4,18,1250.00,1,1
227,24,11,14,890.00,1,0
228,24,18,20,1650.00,1,1
229,24,25,12,750.00,0,0
230,24,32,19,1450.00,1,1
231,24,39,16,580.00,0,0
232,24,46,21,1950.00,1,1
233,24,53,13,1050.00,1,0
234,25,3,15,2150.00,2,1
235,25,10,20,2850.00,2,1
236,25,17,17,1750.00,1,0
237,25,24,12,1450.00,1,1
238,25,31,22,3400.00,2,1
239,25,38,14,1950.00,1,0
240,25,45,19,2650.00,2,1
241,25,52,11,1250.00,1,1
242,25,59,18,3100.00,2,1
243,25,66,21,2250.00,1,0
244,25,73,13,1750.00,1,1
245,25,80,20,3750.00,2,1
246,26,0,16,780.00,0,0
247,26,7,20,1250.00,1,1
248,26,14,13,560.00,0,0
249,26,21,18,890.00,1,0
250,26,28,22,1450.00,1,1
251,26,35,11,520.00,0,0
252,26,42,19,680.00,0,1
253,27,6,17,1890.00,1,1
254,27,13,14,1450.00,1,0
255,27,20,21,2350.00,2,1
256,27,27,12,1250.00,1,0
257,27,34,19,2100.00,1,1
258,27,41,16,890.00,0,0
259,27,48,22,2750.00,2,1
260,27,55,13,1650.00,1,0
261,28,2,18,650.00,0,0
262,28,9,14,890.00,0,0
263,28,16,20,1250.00,1,1
264,28,23,11,520.00,0,0
265,28,30,19,780.00,0,1
266,28,37,15,480.00,0,0
267,28,44,21,950.00,0,1
268,29,1,19,3150.00,2,1
269,29,8,15,2450.00,1,0
270,29,15,21,3850.00,2,1
271,29,22,13,1750.00,1,1
272,29,29,18,2750.00,2,1
273,29,36,22,4250.00,2,1
274,29,43,14,2050.00,1,0
275,29,50,20,3450.00,2,1
276,29,57,16,1550.00,1,1
277,29,64,21,4900.00,2,1
278,29,71,12,1350.00,1,0
279,30,5,17,890.00,1,0
280,30,12,20,1450.00,1,1
281,30,19,14,750.00,0,0
282,30,26,18,1250.00,1,1
283,30,33,22,580.00,0,1
284,30,40,11,680.00,0,0
285,30,47,19,1050.00,1,0
286,31,4,15,1250.00,1,1
287,31,11,20,890.00,1,0
288,31,18,13,560.00,0,0
289,31,25,18,1450.00,1,1
290,31,32,21,780.00,0,1
291,31,39,16,950.00,0,0
292,31,46,22,1650.00,1,1
293,31,53,12,680.00,0,0
294,32,0,19,2250.00,2,1
295,32,7,14,1890.00,1,0
296,32,14,20,2650.00,2,1
297,32,21,11,1250.00,1,1
298,32,28,17,2100.00,1,1
299,32,35,22,3450.00,2,1
300,32,42,15,1550.00,1,0
301,32,49,19,2850.00,2,1
302,32,56,13,1340.00,1,1
303,32,63,21,3750.00,2,1
304,33,2,16,1950.00,1,0
305,33,9,20,2450.00,2,1
306,33,16,14,1450.00,1,1
307,33,23,18,890.00,0,0
308,33,30,22,2100.00,1,1
309,33,37,12,1250.00,1,0
310,33,44,19,1750.00,1,1
311,33,51,15,780.00,0,0
312,34,1,13,550.00,0,0
313,34,8,19,890.00,0,0
314,34,15,21,1250.00,1,1
315,34,22,11,480.00,0,0
316,34,29,18,720.00,0,0
317,34,36,20,680.00,0,1
318,34,43,14,590.00,0,0
319,34,50,22,850.00,0,1
320,35,6,17,1450.00,1,1
321,35,13,14,1890.00,1,0
322,35,20,21,2350.00,2,1
323,35,27,12,1250.00,1,0
324,35,34,19,2100.00,1,1
325,35,41,16,890.00,0,0
326,35,48,22,2750.00,2,1
327,35,55,13,1650.00,1,0
328,36,3,18,1250.00,1,1
329,36,10,14,890.00,1,0
330,36,17,20,1650.00,1,1
331,36,24,11,750.00,0,0
332,36,31,19,1450.00,1,1
333,36,38,16,580.00,0,0
334,36,45,22,1950.00,1,1
335,36,52,13,1050.00,1,0
336,37,5,15,780.00,0,0
337,37,12,20,1250.00,1,1
338,37,19,17,950.00,0,1
339,37,26,12,560.00,0,0
340,37,33,19,890.00,0,0
341,37,40,21,1450.00,1,1
342,37,47,14,680.00,0,0
343,37,54,18,1100.00,1,0
344,38,1,19,2350.00,2,1
345,38,8,15,1900.00,1,0
346,38,15,21,2850.00,2,1
347,38,22,12,1250.00,1,0
348,38,29,17,2100.00,1,1
349,38,36,20,3450.00,2,1
350,38,43,14,1550.00,1,0
351,38,50,22,3750.00,2,1
352,38,57,13,1340.00,1,1
353,38,64,19,2650.00,2,1
354,39,2,16,3750.00,2,1
355,39,9,20,4950.00,2,1
356,39,16,14,2850.00,1,0
357,39,23,18,2100.00,1,1
358,39,30,22,4350.00,2,1
359,39,37,12,1650.00,1,0
360,39,44,19,3250.00,2,1
361,39,51,15,2450.00,1,1
362,39,58,21,5600.00,2,1
363,39,65,13,1950.00,1,0
364,40,4,17,890.00,1,0
365,40,11,20,1450.00,1,1
366,40,18,14,750.00,0,0
367,40,25,18,1250.00,1,1
368,40,32,22,580.00,0,1
369,40,39,11,680.00,0,0
370,40,46,19,1050.00,1,0
371,41,0,13,550.00,0,0
372,41,7,19,890.00,0,0
373,41,14,21,1250.00,1,1
374,41,21,11,480.00,0,0
375,41,28,18,720.00,0,0
376,41,35,20,680.00,0,1
377,41,42,14,590.00,0,0
378,41,49,22,850.00,0,1
379,42,1,18,1250.00,1,1
380,42,8,14,890.00,1,0
381,42,15,20,1650.00,1,1
382,42,22,12,750.00,0,0
383,42,29,19,1450.00,1,1
384,42,36,16,580.00,0,0
385,42,43,21,1950.00,1,1
386,42,50,13,1050.00,1,0
387,43,2,15,2350.00,2,1
388,43,9,20,3150.00,2,1
389,43,16,17,1950.00,1,0
390,43,23,13,1450.00,1,1
391,43,30,22,3750.00,2,1
392,43,37,14,2150.00,1,0
393,43,44,19,2850.00,2,1
394,43,51,11,1350.00,1,1
395,43,58,18,3450.00,2,1
396,43,65,21,2550.00,1,0
397,43,72,13,1950.00,1,1
398,43,79,20,4150.00,2,1
399,44,5,16,780.00,0,0
400,44,12,20,1250.00,1,1
401,44,19,13,560.00,0,0
402,44,26,18,890.00,1,0
403,44,33,22,1450.00,1,1
404,44,40,11,520.00,0,0
405,44,47,19,680.00,0,1
406,45,3,17,1890.00,1,1
407,45,10,14,1450.00,1,0
408,45,17,21,2350.00,2,1
409,45,24,12,1250.00,1,0
410,45,31,19,2100.00,1,1
411,45,38,16,890.00,0,0
412,45,45,22,2750.00,2,1
413,45,52,13,1650.00,1,0
414,46,0,18,650.00,0,0
415,46,7,14,890.00,0,0
416,46,14,20,1250.00,1,1
417,46,21,11,520.00,0,0
418,46,28,19,780.00,0,1
419,46,35,15,480.00,0,0
420,46,42,21,950.00,0,1
421,47,4,19,1850.00,1,1
422,47,11,15,1650.00,1,0
423,47,18,21,2450.00,2,1
424,47,25,13,1250.00,1,1
425,47,32,18,2100.00,1,1
426,47,39,22,1450.00,1,1
427,47,46,14,890.00,0,0
428,47,53,20,1950.00,1,1
429,48,1,16,2150.00,2,1
430,48,8,20,2850.00,2,1
431,48,15,14,1750.00,1,0
432,48,22,18,1450.00,1,1
433,48,29,22,3450.00,2,1
434,48,36,12,1250.00,1,0
435,48,43,19,2350.00,2,1
436,48,50,15,1650.00,1,1
437,48,57,21,3950.00,2,1
438,48,64,13,1950.00,1,0
439,49,6,17,890.00,0,0
440,49,13,20,1250.00,1,1
441,49,20,14,750.00,0,0
442,49,27,18,1450.00,1,1
443,49,34,22,580.00,0,1
444,49,41,11,680.00,0,0
445,49,48,19,1050.00,1,0
446,50,2,18,3750.00,2,1
447,50,9,21,4900.00,2,1
448,50,16,15,2850.00,1,0
449,50,23,20,3450.00,2,1
450,50,30,13,2100.00,1,1
451,50,37,22,5800.00,2,1
452,50,44,17,2650.00,1,0
453,50,51,19,4350.00,2,1
454,50,58,14,3150.00,2,1
455,50,65,21,5200.00,2,1
456,50,72,11,1750.00,1,0
457,50,79,20,4600.00,2,1
458,50,86,16,2850.00,1,1
459,50,93,23,6250.00,2,1
